feature,ic,pval,icir
tox_liq_exhaust,-0.024077939110116575,0.12196838836219435,-0.198908376229857
tox_bv_vpin,-0.021371437167997585,0.16985216602868083,-0.06592489991310464
tox_bv_vpin_zscore,-0.0029902304675843722,0.8477110145934921,-0.011713522661463313
tox_funding_pressure,-0.0024412774830486726,0.875414597134218,0.013560847057220281
tox_div_taker,0.001247990703653284,0.9361188886732,0.044485601137967054
tox_accum,0.0,1.0,0.0
tox_accum_zscore,0.0,1.0,0.0
tox_pressure,0.0,1.0,0.0
tox_pressure_zscore,0.0,1.0,0.0
